,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm
26,26,0.325710098,-0.473265357,-0.565640024,-0.415976481,-0.49946256,-0.072844578,-0.461326958,-0.302794283,-0.195406723,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.7,578.0,580
27,27,0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.7,577.0,600
28,28,0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.235662328,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.9,543.0,577
29,29,0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,-0.236349213,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.69,530.0,547
30,30,0.791772243,-0.283605795,-0.31388674,-0.158352838,4.21474557,0.734323736,-0.133619251,-0.302794283,0.108487708,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.39,506.0,505
31,31,0.015002,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.22,473.0,488
32,32,-0.295706097,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.9,459.0,477
33,33,-0.606414194,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.8,440.0,459
34,34,-0.917122291,-0.4387818,0.304053137,-0.456410685,-0.429158861,-0.072844578,-0.241740501,-0.302794283,-0.236862711,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.6,427.0,454
35,35,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.226628754,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.2,412.0,531.5
36,36,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.225588019,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.6,461.0,531.5
37,37,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.224547285,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.9,482.0,531.5
38,38,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.223506551,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.3,519.0,539.75
39,39,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.222465816,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.2,553.0,556.5
40,40,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.221425082,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.7,571.0,556.5
41,41,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.220384348,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.3,608.0,572.75
42,42,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.219343613,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.1,641.0,572.75
43,43,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.218302879,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,6.5,658.0,572.75
44,44,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.217262145,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.3,681.0,572.75
45,45,0.170356049,4.095805915,3.910991088,-0.525726463,-0.49946256,4.293817547,0.476652754,-0.302794283,-0.21622141,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,11.5,685.0,572.75
46,46,0.015002,0.181922222,0.294898472,-0.456410685,-0.460859864,-0.072844578,-0.241740501,-0.302794283,-0.23686958,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,480.0,509.25
47,47,0.015002,0.181922222,0.294898472,-0.456410685,-0.460859864,-0.072844578,-0.241740501,-0.302794283,-0.235995363,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.31,500.0,535.5
48,48,0.015002,0.181922222,0.294898472,-0.456410685,-0.460859864,-0.072844578,-0.241740501,-0.302794283,-0.23287316,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.59,525.0,530.75
49,49,0.015002,0.181922222,0.294898472,-0.456410685,-0.460859864,-0.072844578,-0.241740501,-0.302794283,-0.220384348,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.84,550.0,534.5
50,50,0.015002,0.181922222,0.294898472,-0.456410685,-0.460859864,-0.072844578,-0.241740501,-0.302794283,-0.170429099,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.91,552.0,534.5
51,51,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,-0.199569661,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.9,520.0,535
52,52,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,-0.132962662,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.07,548.0,558
53,53,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,-0.028889227,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.19,570.0,580
54,54,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,0.075184209,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.3,580.0,590
55,55,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,0.179257644,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.39,595.0,600
56,56,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,0.237538768,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.9,630.0,640
57,57,1.102480341,-0.042220897,-0.158257438,-0.525726463,1.922840704,-0.263214463,0.107702921,-0.302794283,0.283331079,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5.05,640.0,650
58,58,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.236688492,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.92,460.0,470
59,59,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.87,540.0,550
60,60,0.325710098,-0.404298243,-0.474093375,-0.525726463,1.687096886,0.461037189,-0.402807724,-0.302794283,-0.205814067,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.02,550.0,565
