,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm
37,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.2250341282130763,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.6,461,None
38,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.22399128701045934,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.9,482,None
39,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.22294844580784237,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.3,519,None
40,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.22190560460522543,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.2,553,None
41,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.22086276340260846,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.7,571,None
42,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.2198199221999915,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.3,608,None
43,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.21877708099737456,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.1,641,None
44,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.2177342397947576,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.5,658,None
45,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.21669139859214062,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.3,681,None
46,0.17098820945577736,4.104648650987112,3.919645771077856,-0.525436684979579,-0.4981287381152882,4.303330831096015,0.4786500475402415,-0.3020874190505117,-0.21564855738952368,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.5,685,None
47,0.015302446760633671,0.1842508722243767,0.29728263575601743,-0.45598623420348106,-0.459463895979803,-0.07136629629845183,-0.2411932929559912,-0.3020874190505117,-0.23633852684944415,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.13,480,None
48,0.015302446760633671,0.1842508722243767,0.29728263575601743,-0.45598623420348106,-0.459463895979803,-0.07136629629845183,-0.2411932929559912,-0.3020874190505117,-0.2354625402392459,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.31,500,None
49,0.015302446760633671,0.1842508722243767,0.29728263575601743,-0.45598623420348106,-0.459463895979803,-0.07136629629845183,-0.2411932929559912,-0.3020874190505117,-0.23233401663139502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.59,525,None
50,0.015302446760633671,0.1842508722243767,0.29728263575601743,-0.45598623420348106,-0.459463895979803,-0.07136629629845183,-0.2411932929559912,-0.3020874190505117,-0.2198199221999915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.84,550,None
