,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,in_amount_mmol,p_amount_mmol,ligand_amount_mmol,first_sol_amount_ml,second_sol_amount_ml,third_sol_amount_ml,other_1_amount_mmol,other_2_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_None,x2_dodecanethiol,x2_lauric acid,x2_myristic acid,x2_oleic acid,x2_palmitic acid,x2_stearic acid,x3_4-ethylpyridine,x3_None,x3_dimethylformamide,x3_dodecylamine,x3_mesitylene,x3_octadecene,x3_oleylamine,x3_trioctylamine,x3_trioctylphosphine,x3_trioctylphosphine oxide,x4_None,x4_dioctyl ether,x4_dioctylamine,x4_hexadecylamine,x4_octylamine,x4_oleylamine,x4_toluene,x4_trioctylphosphine,x4_trioctylphosphine oxide,x5_None,x5_trioctylphosphine,x6_None,x6_acetic acid,x6_superhydride,x6_tetrabutylammonium myristate,x6_zinc acetate,x6_zinc bromide,x6_zinc chloride,x6_zinc iodide,x6_zinc octanoate,x6_zinc oleate,x6_zinc stearate,x6_zinc undecylenate,x7_None,x7_copper bromide,x7_oleic acid,x7_water,x7_zinc iodide,diameter_nm,abs_nm,emission_nm,Unnamed: 81
36,38,38,38,0.319807596,0.134746455,-0.439228154,-0.466782645,-0.128957999,-0.096002403,-0.675365227,-0.146248879,-0.446751595,-0.855756305,-0.280633181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,543.0,589.0,46.0
37,39,39,39,-0.299813727,0.426616033,-0.439228154,-0.32905204,1.097050953,-0.096002403,1.019555944,-0.146248879,-0.16180193,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.2350000000000008,575.0,614.5,39.5
38,40,40,40,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.299772381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.3800000000000003,529.0,582.0,53.0
39,41,41,41,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.296292526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.719000000000001,552.0,601.0,49.0
40,42,42,42,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.291072745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6,578.0,641.0,63.0
41,43,43,43,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.299772381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.410000000000001,511.0,572.0,61.0
42,44,44,44,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.296292526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.3650000000000007,532.0,581.0,49.0
43,45,45,45,-0.423737991,-0.631411187,-0.439228154,-0.397917343,0.118592093,-0.096002403,-0.675365227,-0.146248879,-0.351515422,-0.218643781,-0.291072745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.7,551.0,612.0,61.0
44,46,46,46,0.815504654,2.061085669,-0.439228154,-0.397917343,0.265360922,-0.096002403,2.714477116,-0.146248879,-0.335769202,-0.815936773,-0.30673209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.2,444.0,514.6666667,70.66666667
45,47,47,47,-0.299813727,-0.740862279,-0.439228154,-0.33345942,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.355562643,-0.815936773,-0.305862126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5950000000000006,490.0,559.5,69.5
